,question,answer
2116,101 4567 782 8038 5375 7188 3221 3315 2519 4638 3297 1825 3315 4638 1333 1728 8024 1962 1355 754 974 7608 5442 8024 852 1728 5375 7188 2595 6577 6117 2642 5442 2400 679 6963 3300 1411 1498 1737 7410 8024 3125 5375 7188 2400 7478 1546 671 4638 1333 1728 8024 1377 5543 6820 680 100 3184 5335 4495 5162 5375 726 8024 860 6574 8024 4905 3184 1350 2157 3184 5023 1728 5162 3300 1068 511 712 6206 711 1498 6956 1350 677 3667 7608 5052 5111 5606 5848 5367 8024 1071 678 4638 5491 5489 5848 5367 1359 2595 8024 3300 5111 5606 6610 4275 511 4565 4567 102,101 100 118 100 5341 1394 2519 102
2117,101 4567 782 8038 5517 4142 3971 4550 4568 4307 1391 784 720 5790 8043 102,101 5517 4142 510 5517 3971 4550 1772 711 2382 6224 4638 5517 7945 5606 4565 4567 8024 1377 1139 4385 677 5592 4563 4578 510 1353 7000 510 1641 3698 5023 4568 4307 8024 6956 1146 2642 5442 6820 2100 1762 4617 4567 1377 5543 8024 7444 6356 2664 511 3780 4545 4638 2382 4500 5790 4289 1963 678 8038 122 8024 2829 1169 5517 7000 1146 3789 5790 4289 8038 1259 2886 6574 2094 3808 2829 1169 1177 8020 100 8021 1469 100 1358 860 2888 2834 1177 511 1071 704 8024 100 2190 2406 7305 6090 3327 5826 3300 6772 2487 4638 2829 1169 868 4500 8024 2190 671 763 7410 3780 2595 3971 4550 4638 4545 3126 3291 831 8024 2382 4500 4638 3300 1952 5401 2861 1539 510 1065 5164 2861 1539 5023 8039 100 1358 860 2888 2834 1177 1072 3300 4500 5790 3175 912 8024 817 3419 6844 704 8024 7270 3309 886 4500 679 5679 1353 2418 2208 5023 831 4157 8024 2382 4500 5790 4289 1963 2225 2799 3296 672 510 7440 2225 3296 672 5023 511 123 8024 2834 102
2118,101 3418 3780 2595 8038 7755 3416 7755 4606 102,101 2797 3318 2515 2419 1147 7370 1377 5543 833 3418 3780 8024 852 679 5318 2190 511 102
2119,101 4567 782 8038 704 7599 1071 800 3800 2692 102,101 122 510 6484 5961 5102 924 6395 5117 6484 5102 1469 5961 5102 7608 4289 4638 3029 1057 7030 1762 8185 8181 12617 8279 8181 511 831 6848 856 5131 7770 5612 7608 5275 5335 4638 4905 5102 8024 1963 100 7931 510 5779 7931 510 4373 5101 7481 510 2207 5101 510 4242 7931 510 7931 7935 510 5133 5101 5023 511 123 510 1220 4289 2595 7608 1501 8020 122 8021 4896 4523 5489 5102 8038 2456 6379 3680 3189 4896 5489 5102 7608 4289 4638 3029 1057 7030 1762 12233 12681 8157 8181 511 831 6848 856 5544 5505 7770 831 6574 6028 4635 4638 4905 5102 8024 1963 7894 5489 510 4125 7883 5597 510 7883 5541 5489 510 4281 7027 5550 510 4343 7027 5550 5023 511 8020 123 8021 7824 6007 5102 8038 2456 6379 3680 3189 7824 6007 5102 7608 4289 4638 3029 1057 7030 1762 8273 8181 10953 8129 8181 511 831 6848 856 5544 5505 7770 831 6574 6028 4635 4638 4905 5102 8024 684 2168 1419 1914 679 7653 1469 5544 5505 102
2120,101 4567 782 8038 5310 5688 2595 1914 1220 5549 4142 2218 1278 1114 1906 102,101 122 510 2990 1184 7564 5276 2899 1384 8024 2400 3025 2372 6716 819 6395 510 1278 924 1305 510 2218 1278 1305 5023 511 123 510 2218 6402 2496 1921 1377 4959 2160 3351 4638 6132 3302 8024 3175 912 6822 6121 860 3419 3466 3389 511 124 510 2218 6402 2496 1921 3926 3247 1377 5543 7444 6206 4958 5592 6822 6121 2853 6117 3466 3389 8024 1184 671 3189 3241 677 8110 4157 722 1400 679 6206 6822 7608 511 125 510 5735 6818 3309 3300 2218 6402 5307 1325 8024 6435 3025 2372 4685 1068 4567 1325 510 3466 3389 2845 1440 510 1265 7741 1296 5023 511 126 510 6818 3309 5735 3302 4500 671 763 5790 4289 3341 5353 6237 4568 4307 8024 1377 3025 2372 5790 4665 511 127 510 1377 2128 2961 2157 2247 7373 1398 2218 1278 511 128 510 1377 2990 1184 1114 1906 2682 6206 1486 6418 4638 7309 7579 3926 1296 511 102
2121,101 4567 782 8038 5310 5688 2595 1914 1220 5549 4142 2595 2343 5606 4142 3780 4545 6589 4500 102,101 3780 4545 6589 4500 1377 2100 1762 3209 3227 702 860 2345 2460 8024 1072 860 6589 4500 680 2792 6848 4638 1278 7368 510 3780 4545 3175 3428 510 1278 924 3124 5032 5023 3300 1068 511 102
2122,101 1355 4567 4372 8038 1690 6574 2595 5125 4868 7397 4809 102,101 4680 1184 2213 3187 3209 4802 4638 1355 4567 4372 4685 1068 3144 2945 511 102
2123,101 4567 782 8038 2714 5569 7599 7063 1166 6402 3171 102,101 122 510 2593 2661 7599 2593 2661 7599 1469 2714 5569 7599 6963 3300 2853 3012 510 4868 3210 5023 707 2414 6134 4385 8024 684 6963 1962 1355 680 2207 1036 8024 4567 2658 6772 711 2593 7028 8024 3300 3209 3227 1333 1355 4567 1380 511 2593 2661 7599 707 2414 712 6206 6134 4385 711 1724 5501 2853 3012 8024 7568 7555 2487 4684 8024 6235 2469 1353 2476 8024 4868 2562 3210 6837 510 7770 4178 679 6842 8024 1914 6224 754 124 2259 809 678 4638 1036 4997 8039 2714 5569 7599 712 6206 6134 4385 711 7481 5682 5721 4635 510 1724 5501 1355 1117 510 2797 6639 2853 3012 510 3210 4717 3187 4868 8024 1914 6224 754 122 118 126 2259 4638 1036 4997 8024 2714 5569 7599 738 1377 4507 2593 2661 7599 1927 3780 5445 772 4495 511 123 510 4587 4567 4587 4567 1469 2714 5569 7599 6963 3300 1724 5501 2853 3012 510 3210 4717 5023 6134 4385 8024 4567 2658 6963 6772 2593 7028 511 4587 4567 3221 671 4905 1355 868 2595 4565 4567 8024 6134 4385 3300 4960 4197 2692 6399 700 102
2124,101 4567 782 8038 7313 6574 2595 5511 4142 860 3419 3466 3389 102,101 4565 4567 3193 3309 1377 5543 3187 3209 3227 5511 6956 860 2519 8024 7390 4708 4567 2658 1355 2245 8024 1377 1139 4385 3698 914 510 1355 5297 510 5511 6956 7319 1350 12810 11097 8607 1574 7509 8020 5102 849 3056 2458 2225 7987 2807 2372 4638 1898 7509 8021 510 3348 4307 2900 5023 6134 4385 8024 3353 2208 3144 2642 5442 6820 1377 1355 4385 3118 3698 5052 1461 1429 7509 5023 511 2100 1762 5310 5354 5299 5302 4565 4567 4638 2642 5442 6820 1377 3300 4649 4562 510 1068 5688 5514 5515 510 1359 2501 5023 6134 4385 511 102
2125,101 4567 782 8038 2151 7568 4617 3466 3389 7555 4680 102,101 1967 4906 3466 3389 510 6117 2382 6226 510 5514 4606 3403 2562 4289 3466 3389 510 7346 6887 7262 3466 3389 510 2151 7568 5301 5528 2110 3466 3389 510 100 3466 3844 510 2151 7568 3833 5299 5302 3466 3389 510 4814 6407 7741 510 100 5296 510 100 510 100 102
2126,101 4567 782 8038 5831 5709 5455 2512 1008 2110 3466 3389 102,101 1963 3362 1394 2400 4542 849 7584 7755 8020 5455 3321 3178 6804 4638 7755 1928 8021 7755 2835 8024 6820 833 3466 3389 7584 7755 100 5023 511 102
2127,101 4567 782 8038 2166 7415 4289 860 2607 2672 4568 2218 1278 1114 1906 102,101 122 510 2990 1184 7564 5276 2899 1384 8024 2400 3025 2372 6716 819 6395 510 1278 924 1305 510 2218 1278 1305 5023 511 123 510 5735 6818 3309 3300 2218 6402 5307 1325 8024 6435 3025 2372 4685 1068 4567 1325 510 3466 3389 2845 1440 510 1265 7741 1296 5023 511 124 510 6818 3309 5735 3302 4500 671 763 5790 4289 3341 5353 6237 4568 4307 8024 1377 3025 2372 5790 4665 511 125 510 1377 2128 2961 2157 2247 7373 1398 2218 1278 511 126 510 2642 5442 1377 2990 1184 1114 1906 2682 6206 1486 6418 4638 7309 7579 3926 1296 511 102
2128,101 4567 782 8038 5498 3862 5336 4307 6117 5052 4606 4567 2658 4664 3844 102,101 3800 2692 5632 6716 4567 2658 1359 1265 8024 1963 3300 4960 1355 5592 4578 510 4280 7979 1139 6117 5023 2658 1105 8024 2418 1350 3198 2218 6402 749 6237 4567 2658 1359 1265 511 102
2129,101 4567 782 8038 4868 5307 1305 1327 5341 1394 2519 7564 7344 102,101 4868 5307 1305 1327 5341 1394 2519 3221 671 4905 680 4385 807 4495 3833 1469 2339 868 3340 816 2166 1147 4685 1068 4638 4567 4568 8024 2130 1059 1377 809 7564 7344 8024 5445 684 7564 7344 4638 3175 3791 738 7478 2382 5042 1296 8024 6929 2218 3221 2226 7030 6912 1048 677 5501 7270 3198 7313 1905 754 1018 2898 8024 3322 3462 5445 7574 5246 3833 1220 4638 2339 868 4307 2578 8024 2339 868 671 3667 3198 7313 8024 2218 3833 1220 3833 1220 5501 860 8024 976 671 763 3123 3351 4638 1220 868 511 102
2130,101 4567 782 8038 5553 4548 6402 3171 1333 1156 102,101 1278 4495 833 6422 5301 7309 6418 7309 2642 5442 3221 1415 3300 1914 5522 1969 2027 1380 510 2714 2595 1495 1644 1380 8024 5498 4801 1265 510 5592 3717 510 5503 5523 5023 4567 1380 8024 1086 5310 1394 1073 1798 4638 707 2414 6134 4385 510 6774 1221 3466 3389 5310 3362 5023 8024 1315 1377 868 1139 6402 3171 511 3634 1912 8024 6820 7444 3800 2692 2961 3389 3221 1415 2100 1762 5544 5505 4606 510 3900 2349 5310 5514 1920 510 5592 1880 1147 1366 4548 5023 4685 849 4565 4567 511 102
2131,101 4567 782 8038 6004 6228 1071 800 3466 3389 102,101 122 510 6162 7395 4128 3466 3389 1164 4500 6162 7395 4128 1377 809 6225 2175 1168 6235 5606 3717 5514 4638 4923 2428 511 123 510 3141 4749 7741 1045 2110 3318 1399 4917 711 4724 4307 5491 7937 4591 7741 1045 8024 809 3209 4802 2642 5442 4638 2235 1045 4307 2578 8024 3221 1415 3300 6818 6228 510 6823 6228 5023 511 3141 4749 1400 8024 6820 1377 1164 4500 6162 7395 4128 1377 809 6225 2175 1168 3300 3187 6235 5606 1350 2235 1045 7313 6574 4638 3921 3843 511 124 510 4706 1327 3844 7030 1377 886 4500 7478 2970 6239 2466 4706 1327 6369 8020 100 8021 2772 1327 2398 4706 1327 8020 100 4706 1327 8021 8024 809 3209 4802 3221 1415 2100 1762 4706 1327 1285 7770 4638 2658 1105 511 3633 2382 4706 1327 5745 1741 711 8108 172 8128 3690 5101 3735 3393 125 510 2791 6235 7262 3466 3389 749 6237 2791 6235 3221 1415 4325 4962 510 3221 1415 3300 1068 7308 5111 102
2132,101 4567 782 8038 3173 4495 1036 909 6159 2595 1920 5499 1812 2361 5826 5499 4142 4567 1728 2600 6835 102,101 3315 4567 4567 1728 3209 4802 684 1296 671 8024 3221 4507 754 3173 4495 1036 2697 3381 909 6159 2595 1920 5499 1812 2361 5826 2792 5636 8024 679 5679 1310 4495 739 2679 510 4684 2970 2772 7313 2970 2970 6239 679 3815 7650 4500 3717 1350 4896 4523 510 3188 2518 5592 3811 1380 5023 3221 3315 4567 4638 1314 7372 1728 5162 511 102
2133,101 5790 4289 3780 4545 8038 4706 4702 7755 4606 102,101 3315 4567 4680 1184 2213 3187 4294 3126 3780 4545 5790 4289 511 102
2134,101 4567 782 8038 8188 118 8192 110 4638 100 3221 4635 5682 2573 4403 5826 2471 6629 4638 8024 2208 3144 100 1377 4507 1045 3998 2573 4403 5826 510 6818 2398 3998 2573 4403 5826 2772 4178 2372 2573 4403 5826 5023 2471 6629 511 4635 5682 2573 4403 5826 711 1317 1749 2501 4638 1296 1880 5301 5528 8024 2768 5408 1146 2357 8024 3300 5715 4495 2107 2094 1350 5301 5528 1355 5715 847 7270 5445 2501 2768 4638 969 5826 692 511 2573 4403 5826 679 5447 4178 8024 1217 4178 5635 8183 8320 8148 2207 3198 1315 1377 3647 767 8024 852 2190 2397 4246 510 3189 1045 510 5166 1912 5296 1350 1265 2110 1169 1177 5023 4638 2850 2834 1213 6772 2487 511 5276 3300 8108 110 4638 7478 1969 2027 1967 1957 1469 8114 110 4638 1969 2027 1967 1957 7346 6887 704 3300 2573 4403 5826 2164 4495 5445 3187 4568 4307 511 2496 7346 6887 1079 5131 1333 1872 1914 8024 100 966 7360 856 3198 2573 4403 5826 2159 3211 5246 3658 2400 6863 2768 4142 4568 8024 102,101 2573 4403 5826 7346 6887 4142 102
2135,101 4567 782 8038 5848 5367 2595 3688 1355 6235 1265 4567 7564 6369 3466 3389 102,101 2642 5442 4691 6956 510 5455 1184 510 7583 6956 5023 6956 855 1139 4385 5273 3157 510 687 4562 8024 7965 7570 6956 1355 4495 3688 1718 2595 6235 3410 3198 8024 7444 6206 1350 3198 2218 1278 511 2218 1278 1400 8024 1278 4495 7674 1044 833 2190 2642 5442 6822 6121 860 3419 3466 3389 8024 3389 4692 4649 5502 4638 2658 1105 8024 4197 1400 1377 5543 2456 6379 6822 6121 5299 5302 4567 4415 3466 3389 8024 809 912 6822 671 3635 3209 4802 6402 3171 511 102
2136,101 712 6206 4567 1728 8038 3763 4706 102,101 3763 4706 6132 1333 860 2697 3381 102
2137,101 4567 782 8038 3123 2198 2595 2552 5552 2938 2154 4567 1728 2600 6835 102,101 3123 2198 2595 2552 5552 2938 2154 4638 4567 1728 712 6206 711 671 3613 2595 1358 1168 100 2198 5296 510 704 2094 3837 510 111 11005 13292 132 2198 5296 5023 4289 6574 4638 1920 1177 7030 6781 2198 8024 1469 2970 1358 1920 1177 7030 2198 5296 3780 4545 511 1369 1912 8024 7270 3198 7313 1762 100 5296 4212 2198 678 6822 6121 2198 7574 2772 792 1057 3780 4545 738 1377 5543 2471 6629 3123 2198 2595 2552 5552 2938 2154 511 102
2138,101 4567 782 8038 2552 4125 677 4142 5790 4289 3780 4545 102,101 122 510 3175 5790 8038 3811 2552 3739 1394 1117 5599 3141 1217 1121 511 123 510 2382 4500 704 5790 8038 1920 7942 510 7942 5702 510 7942 6825 510 3399 2094 510 6825 5426 510 5946 5792 510 7942 3377 510 3312 6858 510 4495 4491 5770 511 102
2139,101 4567 782 8038 5598 5537 679 1355 5509 680 1355 5509 679 1059 6402 3171 1333 1156 102,101 6421 4567 4638 6402 3171 6772 711 2159 3211 8024 1278 4495 6858 6814 955 1221 100 6631 5023 2512 1008 2110 3466 3389 8024 6225 2175 2642 5442 4658 5579 1079 4638 2658 1105 1377 3209 4802 3221 1415 2100 1762 5598 5537 8024 2772 5442 5598 5537 4638 4535 2501 2658 1105 511 102
2140,101 4567 782 8038 5554 2595 4611 4586 5341 1394 2519 2141 7741 2147 3466 3389 102,101 122 510 2382 6226 2141 7741 2147 3466 3389 1259 2886 6117 2382 6226 510 2228 2382 6226 510 6117 4495 1265 510 2552 5491 6998 6480 510 745 7000 510 6117 3710 510 6993 860 510 4508 4307 5593 1216 5543 3844 2137 5023 8024 6844 1394 2792 3300 5554 2595 4611 4586 5341 1394 2519 2642 1036 8024 4294 1166 3221 3193 3309 856 2476 1213 845 3300 1059 7481 2595 1355 5509 6826 5353 4638 2642 1036 511 123 510 4567 3681 2110 3466 3844 6844 4500 754 1394 2400 1044 1921 2595 5498 5569 5514 1920 510 4649 4562 510 2207 1928 4535 2501 510 7565 1079 7159 1265 510 6228 1420 6230 7397 4809 8024 2577 4542 2469 2501 6001 510 7599 4562 4567 3681 510 2342 5301 5528 510 1296 5283 4557 4562 4567 3681 8020 100 8021 2697 3381 5442 8024 2972 5773 127 3299 7977 1079 2226 3193 6822 6121 4567 1333 860 2834 1333 2772 100 2772 100 2834 860 3466 3844 8024 1377 4542 2151 1079 2342 5301 5528 4567 3681 2697 3381 5442 1377 1762 102
2141,101 4567 782 8038 100 5527 860 1355 5509 679 5679 2190 4568 3780 4545 102,101 122 510 4626 4587 133 11541 8187 135 133 120 11541 8187 135 3418 2945 4626 4587 4638 1355 868 5102 1798 510 698 7028 4923 2428 510 2898 5330 3198 7313 5023 8024 6848 4500 914 5513 677 5593 4649 6574 4080 5162 510 5738 753 3713 1294 5102 5790 4289 8020 1963 4799 6205 3803 510 3714 4799 6205 3803 8021 510 2834 4626 4587 5790 4289 8020 1963 688 2763 7000 7165 510 2861 5811 676 1636 510 1980 3805 8021 5023 2971 1169 4626 4587 1355 868 511 123 510 5125 4868 1355 5509 6826 4005 1377 1762 683 689 782 1894 2900 2193 678 8024 6822 6121 3300 7151 2190 2595 4638 4289 4415 3780 4545 1469 6427 6241 3780 4545 8024 6858 6814 3121 1587 6427 6241 510 1220 868 510 5632 4415 5543 1213 5023 8024 2990 1285 2642 5442 4638 3800 2692 1213 510 5491 5489 2971 1169 1213 510 6716 860 1291 6444 1213 510 2590 5440 5543 1213 5023 511 102
2142,101 7650 7608 4881 2555 8038 5598 5537 3566 5292 5491 5489 4606 102,101 4567 2658 2612 1908 3309 7313 2418 2226 7030 6912 1048 7608 4500 3779 5594 510 6789 6793 510 1173 4080 4638 7608 4289 511 102
2143,101 2382 6224 4568 4307 8038 5541 6956 1173 4578 102,101 5541 6956 7151 2799 3416 4563 4578 8024 845 3300 2552 2654 510 1461 1429 1737 7410 102
2144,101 4567 782 8038 3362 5131 753 4840 7000 7165 3800 2198 3890 4565 4567 102,101 6983 5125 704 3681 2595 4868 5307 4565 4567 8039 6983 5125 704 3681 2595 5491 4567 8039 1461 1429 4565 4567 8039 7504 2225 1046 5554 4567 8039 2593 2595 6983 704 3681 8039 2714 2595 6983 704 3681 8039 6983 5125 704 3681 8039 2714 2595 1461 1429 6139 4998 8039 4508 7003 704 3681 102
2145,101 4567 782 8038 3312 3333 4567 1314 2154 2595 102,101 3312 3333 4567 3300 1914 5552 1690 5168 1350 4638 1377 5543 8024 7390 4567 2658 6822 2245 8024 1377 5543 1139 4385 5513 4567 5341 1394 2519 5023 1914 4905 4565 4567 8024 2014 5516 4495 1462 978 2434 511 102
2146,101 4567 782 8038 1920 912 2460 2382 3466 3389 7555 4680 102,101 6117 2382 6226 3466 3389 510 5116 912 7391 6117 6407 7741 510 100 5296 7166 7623 3466 3389 510 100 510 4828 1066 2920 2768 1008 510 5299 5302 4567 4415 2110 3466 3389 510 5310 5499 7262 3466 3389 102
2147,101 4567 782 8038 5439 2399 4626 4587 2600 6835 102,101 5439 2399 4626 4587 2642 5442 1914 3300 2109 4324 2697 510 4193 5991 5165 2476 510 898 6609 510 2607 2672 1469 3867 3353 4638 2552 4415 511 2642 5442 2697 2658 769 3837 1358 7349 8024 2658 5328 856 5862 8024 2190 3780 4545 1927 1343 928 2552 8024 4493 5635 2867 5318 3780 4545 8024 2190 2642 5442 3780 4545 3126 3362 1469 4495 2100 7564 1400 772 4495 679 5679 2512 1510 511 3125 2157 2247 2418 1914 1068 2552 510 2128 2720 2642 5442 8024 886 1071 4916 3353 6981 1394 3780 4545 8024 3409 4989 2773 5526 4565 4567 4638 928 2552 511 1398 3198 2418 6905 1278 1671 4500 5790 510 1075 2768 5679 1962 4638 4495 3833 739 2679 510 2137 3309 1908 3389 8024 7344 3632 4565 4567 6822 2245 2772 1908 1355 511 102
2148,101 2382 6224 4568 4307 8038 2472 6947 6205 692 5826 5511 4142 102,101 1495 1644 510 1495 4635 4588 2772 6117 4588 510 5541 4578 510 3698 914 510 1355 4178 102
2149,101 4567 782 8038 5517 2170 7063 1166 6402 3171 102,101 704 1278 6371 711 8024 7370 5517 2170 1912 8024 7650 7608 977 4005 510 5569 5517 3969 4178 510 5517 7346 5994 5023 1772 1377 2193 5636 5517 4578 8024 7444 1217 809 7063 1166 511 122 510 7650 7608 977 4005 712 6206 6134 4385 711 3274 7650 3274 7608 1400 8024 5517 5557 4563 4578 8024 5515 4007 679 3867 8024 4563 4578 2867 2902 8024 2533 7608 3291 4493 8024 1641 5576 1411 7000 8024 2772 1445 1402 679 3867 1265 7608 4289 8024 1071 1456 5576 5634 8024 1402 1400 4578 1121 8024 679 2590 7650 7608 2772 1328 7608 8024 1920 912 679 4272 8024 2533 4759 3698 1350 912 1400 4924 5653 8024 5649 5726 1331 5594 8024 5549 3998 3300 1213 511 123 510 5569 5517 3969 4178 712 6206 6134 4385 711 5517 5557 4133 4178 4563 4578 8024 1648 3325 3793 7000 8024 1366 2397 1366 5736 8024 3951 679 3617 7650 8024 1366 4494 5111 3843 8024 7608 4494 7608 1156 1088 7000 3717 8024 5287 1438 2626 2552 8024 6716 7028 5501 958 8024 2207 912 5682 7942 8024 1920 102
2150,101 4567 782 8038 5519 1718 4617 5790 4289 102,101 2705 710 5540 1718 510 3867 4617 2398 4275 102
2151,101 4567 782 8038 5501 7755 5292 4307 5503 1920 3780 4545 6589 4500 102,101 3780 4545 6589 4500 1377 2100 1762 3209 3227 702 860 2345 2460 8024 1072 860 6589 4500 680 2792 6848 4638 1278 7368 510 3780 4545 3175 3428 510 1278 924 3124 5032 5023 3300 1068 511 102
2152,101 4567 782 8038 3719 2100 1220 5549 2397 2190 4568 3780 4545 102,101 2642 5442 671 5663 6963 3300 698 7028 4638 5375 3709 4568 4307 8024 2418 2137 3198 5314 750 2642 5442 3709 3698 1429 1057 809 1121 2208 5375 3709 511 102
2153,101 4567 782 8038 7474 5549 3289 2476 5341 1394 2519 1825 3315 4567 1728 102,101 122 510 7474 5549 3289 2476 8020 122 8021 6890 837 2595 7474 5549 1880 5310 3354 5375 7379 510 1044 1921 2595 4480 5606 1355 5509 679 1059 510 3918 7474 5549 1216 5543 679 1059 510 1059 7474 5549 4567 510 1044 1921 2595 1220 7474 5549 4600 8020 1431 1394 8021 510 2190 1079 1146 3789 4080 5162 3130 2697 8024 809 1350 3988 6998 860 868 4500 754 5052 1880 1914 5131 5023 6821 763 6890 837 1728 5162 2471 6629 7474 5549 1880 6763 2483 1469 4480 5606 7308 7219 679 1059 8024 1217 677 3840 7474 5549 855 754 4649 678 8024 5375 726 3300 1213 3118 2898 8024 2496 7474 5549 1327 1285 7770 3198 8024 2471 6629 7474 5549 6117 948 3837 8024 7474 5549 2482 3289 510 2810 1920 510 2454 7270 8024 4917 1333 1355 2595 7474 5549 3289 2476 511 8020 123 8021 5439 2399 782 7474 5549 1880 1359 2595 8024 4480 5606 2938 839 1872 1331 1350 6842 1265 8039 1912 839 2689 1394 1400 3840 7474 5549 1880 1469 4480 5606 1216 5543 1358 2938 8024 886 7474 5549 3211 754 3289 2476 8039 102
2154,101 4567 782 8038 5588 1353 2198 768 6822 7305 6402 2900 2519 102,101 122 510 845 5501 860 4563 4578 510 7937 3312 510 3187 1213 510 2697 6230 2460 2382 510 3833 1220 7397 4809 8039 123 510 845 5491 5489 4570 2908 510 4563 4578 510 5491 1213 1121 6842 2772 5491 5489 5848 5367 8039 124 510 845 1927 4697 1914 3457 510 3800 2692 1213 679 7415 704 2772 2829 6944 5023 679 5679 2658 5328 8039 125 510 845 1355 4178 510 1498 4578 510 726 1213 510 1928 3238 510 1928 4578 510 2626 2552 510 6228 1213 7397 4809 510 6241 6427 679 3926 510 1920 2207 912 1927 4881 510 3900 2349 5310 5514 1920 5023 4568 4307 8039 126 510 1139 4385 1071 2124 698 7028 510 2898 5330 2772 6822 2245 2595 4568 4307 860 2519 511 860 3466 1355 4385 5588 1353 2198 768 6822 8024 2772 845 3300 809 677 2658 1105 8024 2418 1350 3198 2218 1278 1486 6418 511 102
2155,101 4567 782 8038 7599 2170 2697 1088 4568 4307 1391 784 720 5790 8043 102,101 704 1278 6371 711 8024 7599 2170 2697 1088 3221 7599 2170 722 6932 1912 6159 510 5511 3698 1927 2146 2193 5636 511 2382 6224 2626 2170 8020 2586 1107 8021 510 1355 4178 510 7965 1853 510 3837 3926 3873 510 1928 4578 510 5501 860 4563 4578 5023 4568 4307 511 3780 4545 7599 2170 2697 1088 4638 2382 4500 5790 4289 3300 8038 122 8024 1355 3731 6237 6134 8024 4865 7599 3141 2170 5790 8038 4500 754 2626 2170 7028 510 1355 4178 6768 510 3187 3731 4638 7599 2170 2697 1088 511 704 1278 6371 711 3221 1912 2697 7599 2170 8024 1310 7345 6158 6944 2792 5636 511 1728 3634 7599 4178 2697 1088 1350 2170 6944 1265 4178 3209 3227 5442 2708 4500 511 684 3302 5790 3309 7313 2555 7608 3779 5594 510 6789 6793 5023 7608 4289 511 5445 7608 4178 5114 1377 809 2376 1221 1355 3731 8024 3300 1164 754 3121 1587 4568 4307 511 2382 4500 704 2768 5790 3300 6134 2141 2697 1088 7578 5108 510 7599 2170 2697 1088 7578 5108 510 3633 3395 5529 7650 7578 5108 510 839 7599 102
2156,101 4567 782 8038 1969 2027 1394 2400 3900 2349 4606 6402 3171 1333 1156 102,101 2190 1969 2027 3309 3900 2349 4606 2642 5442 4638 6402 3171 6206 2708 7028 6848 2885 3466 3389 2797 3667 8024 818 862 679 1164 754 5524 5522 1355 5509 4638 3466 3389 2797 3667 6963 2418 2496 6912 1048 886 4500 511 6822 6121 2595 510 3187 4578 2595 3900 2349 5310 5514 1920 5442 8024 2418 976 3900 2349 5310 1313 4275 1350 4567 4415 1147 4275 2772 3900 2349 5310 4959 1173 4289 3864 4275 3466 3389 511 4542 4649 5502 3900 2349 4606 3198 1377 976 4649 5502 3833 3466 1350 1313 4275 511 845 3300 6117 5301 5528 3144 7030 2460 2382 510 6117 3926 4822 2595 4840 7000 6998 1872 7770 2772 3300 7755 7761 4567 1359 3198 8024 1377 976 7755 7767 3833 3466 1469 3864 4275 2192 2823 100 118 100 5301 5528 2772 100 5301 5528 8024 749 6237 7755 7767 1358 5168 4638 2658 1105 511 3418 2945 5299 5302 4567 4415 2110 3466 3389 5310 3362 8024 868 1139 3900 2349 4606 4638 6402 3171 511 1762 6402 3171 6814 4923 704 8024 1278 4495 7444 2961 7370 3900 2349 5310 4142 1469 2626 2595 102
2157,101 4567 782 8038 6674 2814 839 1333 1728 102,101 4507 754 6674 1068 5688 1912 904 4638 7505 2372 6772 1079 904 4638 7505 2372 2483 8024 1217 677 1079 6674 6772 4764 8024 2792 809 3211 1355 4495 6639 1079 5436 113 5558 2552 3308 1079 904 114 5445 2938 839 1912 904 1199 7505 2372 511 6674 1068 5688 5520 2235 3198 8024 6655 7755 3187 3833 1220 865 1765 8024 852 1762 6652 2235 113 2990 6629 5558 6656 114 3198 8024 6655 7755 1377 1403 697 904 6768 2544 3833 1220 8024 2792 809 6674 1068 5688 2518 2518 1762 6652 2235 855 1355 4495 1079 5436 855 2814 839 511 2769 812 1762 6674 1068 5688 6652 2235 113 3683 1963 678 3517 3461 510 678 2255 510 6629 6663 1400 5862 1765 5023 114 3833 1220 3198 8024 1963 3362 1927 1343 2398 6130 8024 2218 2159 3211 2471 6629 1068 5688 4638 1079 5436 8024 2193 5636 6674 1068 5688 4638 1079 5436 2938 839 8024 1315 6674 1912 904 2814 839 511 102
2158,101 4567 782 8038 856 4706 1327 2595 7471 1045 4706 7650 7608 4881 2555 102,101 122 510 4881 1391 6789 6793 1173 4080 2595 7608 4289 8024 1963 6793 3492 510 4495 2002 510 5700 3314 510 1920 5886 5023 8024 7608 4500 1400 1377 5543 833 1217 7028 2642 5442 4638 4567 2658 511 123 510 679 2139 7608 4500 1220 4289 5544 5505 1469 5519 1743 7003 1419 7030 7770 4638 7608 4289 8024 1963 5503 5489 511 7770 5544 1469 7770 5519 1743 7003 1377 1217 7028 2772 2471 6629 4706 6956 6117 5052 4801 1265 8024 679 1164 754 3315 4567 4638 3780 4545 511 124 510 2555 4170 6983 8024 2208 7650 2772 679 7650 1476 1565 1469 3849 5763 511 102
